slug,title,year,tmdb_id,action,url
"gandhinagar-rendava-veedhi-1987","Gandhinagar Rendava Veedhi","1987","N/A","Manual image search needed","http://localhost:3000/movies/gandhinagar-rendava-veedhi-1987"
"bhale-mogudu-bhale-pellam-2011","Bhale Mogudu Bhale Pellam","2011","N/A","Manual image search needed","http://localhost:3000/movies/bhale-mogudu-bhale-pellam-2011"
"padaharella-ammayi-1986","Padaharella Ammayi","1986","N/A","Manual image search needed","http://localhost:3000/movies/padaharella-ammayi-1986"
"andaru-dongale-dorikithe-2004","Andaru Dongale Dorikithe","2004","N/A","Manual image search needed","http://localhost:3000/movies/andaru-dongale-dorikithe-2004"
"jai-bajarangbali-1997","Jai Bajarangbali","1997","N/A","Manual image search needed","http://localhost:3000/movies/jai-bajarangbali-1997"
"kaboye-alludu-1987","Kaboye Alludu","1987","N/A","Manual image search needed","http://localhost:3000/movies/kaboye-alludu-1987"
"apparao-driving-school-2004","Apparao Driving School","2004","N/A","Manual image search needed","http://localhost:3000/movies/apparao-driving-school-2004"
"dabbevariki-chedu-1987","Dabbevariki Chedu","1987","N/A","Manual image search needed","http://localhost:3000/movies/dabbevariki-chedu-1987"
"preminchi-choodu-1989","Preminchi Choodu","1989","N/A","Manual image search needed","http://localhost:3000/movies/preminchi-choodu-1989"
"iddaru-attala-muddula-alludu-2006","Iddaru Attala Muddula Alludu","2006","N/A","Manual image search needed","http://localhost:3000/movies/iddaru-attala-muddula-alludu-2006"
"brundavanam-1993","Brundavanam","1993","N/A","Manual image search needed","http://localhost:3000/movies/brundavanam-1993"
"kashmora-1986","Kashmora","1986","N/A","Manual image search needed","http://localhost:3000/movies/kashmora-1986"
"inimai-idho-idho-1980","Inimai Idho Idho","1980","N/A","Manual image search needed","http://localhost:3000/movies/inimai-idho-idho-1980"
"poola-rangadu-1989","Poola Rangadu","1989","N/A","Manual image search needed","http://localhost:3000/movies/poola-rangadu-1989"
"topi-raja-sweety-roja-1996","Topi Raja Sweety Roja","1996","N/A","Manual image search needed","http://localhost:3000/movies/topi-raja-sweety-roja-1996"
"vamsoddarakudu-2000","Vamsoddarakudu","2000","N/A","Manual image search needed","http://localhost:3000/movies/vamsoddarakudu-2000"
"antima-theerpu-1988","Antima Theerpu","1988","N/A","Manual image search needed","http://localhost:3000/movies/antima-theerpu-1988"
"time-pass-2001","Time Pass","2001","330753","Manual image search needed","http://localhost:3000/movies/time-pass-2001"
"madhura-swapnam-1982","Madhura Swapnam","1982","N/A","Manual image search needed","http://localhost:3000/movies/madhura-swapnam-1982"
"bala-mitrula-katha-1972","Bala Mitrula Katha","1972","N/A","Manual image search needed","http://localhost:3000/movies/bala-mitrula-katha-1972"
"adavaallu-meeku-joharulu-1981","Adavaallu Meeku Joharulu","1981","N/A","Manual image search needed","http://localhost:3000/movies/adavaallu-meeku-joharulu-1981"
"amaradeepam-1977","Amaradeepam","1977","N/A","Manual image search needed","http://localhost:3000/movies/amaradeepam-1977"
"trishulam-1982","Trishulam","1982","N/A","Manual image search needed","http://localhost:3000/movies/trishulam-1982"
"jeevana-theeralu-1977","Jeevana Theeralu","1977","N/A","Manual image search needed","http://localhost:3000/movies/jeevana-theeralu-1977"
"talli-kodukula-anubandham-1982","Talli Kodukula Anubandham","1982","N/A","Manual image search needed","http://localhost:3000/movies/talli-kodukula-anubandham-1982"
"doni-sagali-1998","Doni Sagali","1998","N/A","Manual image search needed","http://localhost:3000/movies/doni-sagali-1998"
"premaku-swagatham-2002","Premaku Swagatham","2002","N/A","Manual image search needed","http://localhost:3000/movies/premaku-swagatham-2002"
"jayam-manade-raa-2000","Jayam Manade Raa","2000","N/A","Manual image search needed","http://localhost:3000/movies/jayam-manade-raa-2000"
"sangolli-rayanna-2012","Sangolli Rayanna","2012","N/A","Manual image search needed","http://localhost:3000/movies/sangolli-rayanna-2012"
"aisa-pyaar-kahan-1986","Aisa Pyaar Kahan","1986","302427","Manual image search needed","http://localhost:3000/movies/aisa-pyaar-kahan-1986"
"pyaar-ke-do-pal-1986","Pyaar Ke Do Pal","1986","N/A","Manual image search needed","http://localhost:3000/movies/pyaar-ke-do-pal-1986"
"kanoon-ki-awaaz-1989","Kanoon Ki Awaaz","1989","N/A","Manual image search needed","http://localhost:3000/movies/kanoon-ki-awaaz-1989"
"q12427728-1990","Q12427728","1990","N/A","Manual image search needed","http://localhost:3000/movies/q12427728-1990"
"swami-vivekananda-1994","Swami Vivekananda","1994","N/A","Manual image search needed","http://localhost:3000/movies/swami-vivekananda-1994"
"meghasandesham-1982","Meghasandesham","1982","N/A","Manual image search needed","http://localhost:3000/movies/meghasandesham-1982"
"ee-snehatheerathu-2004","Ee Snehatheerathu","2004","N/A","Manual image search needed","http://localhost:3000/movies/ee-snehatheerathu-2004"
"mera-saathi-1985","Mera Saathi","1985","N/A","Manual image search needed","http://localhost:3000/movies/mera-saathi-1985"
"gharana-1989","Gharana","1989","N/A","Manual image search needed","http://localhost:3000/movies/gharana-1989"
"kizhakku-kadalkarai-salai-2006","Kizhakku Kadalkarai Salai","2006","N/A","Manual image search needed","http://localhost:3000/movies/kizhakku-kadalkarai-salai-2006"
"karunai-ullam-1978","Karunai Ullam","1978","N/A","Manual image search needed","http://localhost:3000/movies/karunai-ullam-1978"
"sakutumba-saparivaara-sametham-2000","Sakutumba Saparivaara Sametham","2000","N/A","Manual image search needed","http://localhost:3000/movies/sakutumba-saparivaara-sametham-2000"
"aayanagaru-1998","Aayanagaru","1998","N/A","Manual image search needed","http://localhost:3000/movies/aayanagaru-1998"
"q12985478-1979","Q12985478","1979","N/A","Manual image search needed","http://localhost:3000/movies/q12985478-1979"
"egire-pavuramaa-1997","Egire Pavuramaa","1997","N/A","Manual image search needed","http://localhost:3000/movies/egire-pavuramaa-1997"
"q12982331-1977","Q12982331","1977","N/A","Manual image search needed","http://localhost:3000/movies/q12982331-1977"
"preyasi-rave-1999","Preyasi Rave","1999","N/A","Manual image search needed","http://localhost:3000/movies/preyasi-rave-1999"
"meri-warrant-2010","Meri Warrant","2010","N/A","Manual image search needed","http://localhost:3000/movies/meri-warrant-2010"
"q16311395-1978","Q16311395","1978","N/A","Manual image search needed","http://localhost:3000/movies/q16311395-1978"
"mayajalam-2006","Mayajalam","2006","N/A","Manual image search needed","http://localhost:3000/movies/mayajalam-2006"
"roja-kootam-2002","Roja Kootam","2002","N/A","Manual image search needed","http://localhost:3000/movies/roja-kootam-2002"
