"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Poombatta","1971","lead","Yes","","wikipedia","0.50","Exists","",""
"Moondru Mudichu","1976","lead","Yes","","wikipedia","0.50","Exists","",""
"16 Vayathinile","1977","lead","Yes","","wikipedia","0.50","Exists","",""
"Sigappu Rojakkal","1978","lead","Yes","","wikipedia","0.50","Exists","",""
"Karthika Deepam","1979","lead","Yes","","wikipedia","0.50","Exists","",""
"Varumayin Niram Sivappu","1980","lead","Yes","","wikipedia","0.50","Exists","",""
"Moondram Pirai","1981","lead","Yes","","wikipedia","0.50","Exists","",""
"Meendum Kokila","1982","lead","Yes","","wikipedia","0.50","Exists","",""
"Moondram Pirai","1983","lead","Yes","","wikipedia","0.50","Exists","",""
"Sadma","1984","lead","Yes","","wikipedia","0.50","Exists","",""
"Nagina","1986","lead","Yes","","wikipedia","0.50","Exists","",""
"Mr. India","1987","lead","Yes","","wikipedia","0.50","Added","",""
"Aakhari Poratam","1988","lead","Yes","","wikipedia","0.50","Exists","",""
"ChaalBaaz","1990","lead","Yes","","wikipedia","0.50","Exists","",""
"Kshana Kshanam","1991","lead","Yes","","wikipedia","0.50","Exists","",""
"Lamhe","1992","lead","Yes","","wikipedia","0.50","Exists","",""
"Khuda Gawah","1993","lead","Yes","","wikipedia","0.50","Exists","",""
"Gumrah","1994","lead","Yes","","wikipedia","0.50","Exists","",""
"Laadla","1995","lead","Yes","","wikipedia","0.50","Exists","",""
"Judaai","1998","lead","Yes","","wikipedia","0.50","Exists","",""
"English Vinglish","2013","lead","Yes","","wikipedia","0.50","Exists","",""
"Mom","2018","lead","Yes","","wikipedia","0.50","Exists","",""
"—N/a","2019","lead","Yes","","wikipedia","0.50","Exists","",""
