Actor,Title,Year,Sources,Confidence,Role,In Database,Was Added,Reason
"Akkineni Nagarjuna","Agni",1989,"lead",0,"",No,No,"Added"
"Akkineni Nagarjuna","Bava Nachadu",2001,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Kedi",2010,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Angaaray",1998,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Agni Putrudu",1987,"lead",0,"",No,No,"Added"
"Akkineni Nagarjuna","Sri Ramadasu",2006,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Rao Gari Illu",1988,"cameo",0,"",No,No,"Added"
"Akkineni Nagarjuna","Don",2007,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Annamayya",1997,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Boss",2006,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Khuda Gawah",1992,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Mass",2004,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","King",2008,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Rakshana",1993,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Nirnayam",1991,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Santosham",2002,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Ragada",2010,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Gaganam",2011,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Agni Varsha",2002,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Mr. Bechara",1996,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Shiva",1990,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Damarukam",2012,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Aavida Maa Aavide",1998,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Gunda Mawali",1998,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Azad",2000,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Geethanjali",1989,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Super",2005,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Krishnarjuna",2008,"lead",0,"",No,No,"Added"
"Akkineni Nagarjuna","Ninne Pelladatha",1996,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Nuvvu Vastavani",2000,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Shirdi Sai",2012,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Greeku Veerudu",2013,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Rajanna",2011,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Naa Saami Ranga",2024,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Kuberaa",2025,"lead",0,"",No,No,"Added"
"Akkineni Nagarjuna","Ravoyi Chandamama",1999,"lead",0,"",No,No,"Added"
"Akkineni Nagarjuna","Manam",2014,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Bhai",2013,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Jagadguru Adi Shankara",2013,"lead",0,"",No,No,"Added"
"Akkineni Nagarjuna","Sivamani",2003,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Nenunnanu",2004,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Chandralekha",1998,"lead",0,"",No,No,"Added"
"Akkineni Nagarjuna","Killer",1992,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","LOC: Kargil",2003,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Zakhm",1998,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Manmadhudu",2002,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","President Gari Pellam",1992,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Sudigundalu",1968,"cameo",0,"",No,No,"Added"
"Akkineni Nagarjuna","Ratchagan",1997,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Inji Iduppazhagi",2015,"cameo",0,"",No,No,"Added"
"Akkineni Nagarjuna","Style",2006,"supporting",0,"",No,No,"Added"
"Akkineni Nagarjuna","Oopiri",2016,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Akhil",2015,"cameo",0,"",No,No,"Added"
"Akkineni Nagarjuna","Sisindri",1995,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Soggade Chinni Nayana",2016,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Varasudu",1993,"lead",0,"",No,No,"Added"
"Akkineni Nagarjuna","Exploring ''Shiva'' Movie After 25 Years",2014,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Coolie",2025,"lead",0,"",No,No,"Added"
"Akkineni Nagarjuna","Siva",1989,"lead",0,"",No,No,"Added"
"Akkineni Nagarjuna","Om Namo Venkatesaya",2017,"lead",0,"",No,No,"Exists"
"Akkineni Nagarjuna","Criminal",1995,"lead",0,"",No,No,"Exists"
