"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Vintha Katha","1973","child_actor","No","","tmdb","0.50","Exists","894120",""
"Gudachari 117","1989","lead","Yes","","tmdb","0.50","Exists","1102472",""
"Agent Gopi","1978","lead","Yes","","tmdb","0.50","Exists","307189",""
"Rahasya Gudachari","1981","lead","Yes","","tmdb","0.50","Exists","1102488",""
"Indradhanussu","1978","lead","Yes","","tmdb","0.50","Exists","933194",""
"Rajamahal","1972","child_actor","No","","tmdb","0.50","Added","1142108",""
"Vidhi Vilasam","1970","child_actor","No","","tmdb","0.50","Exists","950163",""
"Nenu Manishine","1971","child_actor","No","","tmdb","0.50","Exists","963873",""
"Chuttalunnaru Jagrattha","1980","lead","Yes","","tmdb","0.50","Added","1174976",""
"Koduku Diddina Kapuram","1989","lead","Yes","","tmdb","0.50","Exists","987973",""
"Bhale Krishnudu","1980","lead","Yes","","tmdb","0.50","Exists","988218",""
"Ravanna","2000","lead","Yes","","tmdb","0.50","Exists","844395",""
"Simhasanam","1986","lead","Yes","","tmdb","0.50","Exists","82780",""
"Jagadeka Veerudu","1996","lead","Yes","","tmdb","0.50","Exists","473860",""
"Amma Donga!","1995","lead","Yes","","tmdb","0.50","Exists","995385",""
"Iddaru Dongalu","1984","lead","Yes","","tmdb","0.50","Exists","995465",""
"Talli Kodukulu","1973","child_actor","No","","tmdb","0.50","Exists","995822",""
"Monagadostunnadu Jagratha","1972","child_actor","No","","tmdb","0.50","Added","997889",""
"Manasaakshi","1977","child_actor","No","","tmdb","0.50","Exists","997945",""
"Todu Dongalu","1981","lead","Yes","","tmdb","0.50","Exists","279353",""
"Sultan","1999","lead","Yes","","tmdb","0.50","Exists","280342",""
"Chal Mohana Ranga","1978","lead","Yes","","tmdb","0.50","Exists","1017675",""
"Ave Kallu","1967","child_actor","No","","tmdb","0.50","Exists","302128",""
"Kanthaswamy","2009","supporting","No","","tmdb","0.50","Added","25120",""
"Sri Rajeshwari Vilas Coffee Club","1976","child_actor","No","","tmdb","0.50","Exists","307623",""
"Ram Robert Rahim","1980","lead","Yes","","tmdb","0.50","Added","331543",""
"Sakshi","1967","child_actor","No","","tmdb","0.50","Exists","1054764",""
"Maa Voori Magaadu","1987","lead","Yes","","tmdb","0.50","Added","1265891",""
"Kuzhanthaikkaga","1968","child_actor","No","","tmdb","0.50","Added","1289071",""
"Pandanti Kapuram","1972","child_actor","No","","tmdb","0.50","Exists","307783",""
"Kotta Alludu","1979","lead","Yes","","tmdb","0.50","Added","1301207",""
"Kottapeta Rowdy","1980","lead","Yes","","tmdb","0.50","Exists","1301219",""
"Sri Sri","2016","lead","Yes","","tmdb","0.50","Added","405768",""
"Varasudu","1993","lead","Yes","","tmdb","0.50","Exists","410308",""
"Alluri Seetarama Raju","1974","child_actor","No","","tmdb","0.50","Exists","310622",""
"Teri Talaash Mein","1968","child_actor","No","","tmdb","0.50","Added","1315789",""
"Lakshmi Nivasam","1968","child_actor","No","","tmdb","0.50","Exists","414233",""
"Meena","1973","child_actor","No","","tmdb","0.50","Exists","414237",""
"Vishwanatha Nayakudu","1987","lead","Yes","","tmdb","0.50","Exists","1328969",""
"Mosagallaku Mosagadu","1971","child_actor","No","","tmdb","0.50","Exists","301650",""
"James Bond 777","1971","child_actor","No","","tmdb","0.50","Exists","433250",""
"Osey Ramulamma","1997","supporting","No","","tmdb","0.50","Added","307929",""
"Naa Ille Naa Swargam","1991","supporting","No","","tmdb","0.50","Exists","519381",""
"Goodachari 116","1966","child_actor","No","","tmdb","0.50","Exists","302158",""
"Ramudochadu","1996","cameo","No","","tmdb","0.50","Added","577823",""
"Telugu Veera Levara","1995","lead","Yes","","tmdb","0.50","Exists","637464",""
"Ramarajyamlo Bheemaraju","1983","lead","Yes","","tmdb","0.50","Exists","674172",""
"Rajakiya Chadurangam","1988","lead","Yes","","tmdb","0.50","Added","685650",""
"Dongalu Baboi Dongalu","1984","lead","Yes","","tmdb","0.50","Exists","689828",""
"Jayam Manade","1986","lead","Yes","","tmdb","0.50","Exists","690111",""
"Aadambaralu Anubandhalu","1974","child_actor","No","","tmdb","0.50","Added","697948",""
"Atha Mechina Alludu","1989","lead","Yes","","tmdb","0.50","Exists","707787",""
"Agni Parvatham","1985","lead","Yes","","tmdb","0.50","Exists","733094",""
"Edi Dharmam Edi Nyayam","1982","supporting","No","","tmdb","0.50","Added","308045",""
"Eenadu","1982","lead","Yes","","tmdb","0.50","Exists","309126",""
"Private Master","1967","child_actor","No","","tmdb","0.50","Exists","319789",""
"Neramu Siksha","1973","child_actor","No","","tmdb","0.50","Exists","322234",""
"Vayyari Bhamalu Vagalamari Bhartalu","1982","lead","Yes","","tmdb","0.50","Exists","517718",""
"Subhakankshalu","1997","cameo","No","","tmdb","0.50","Added","82752",""
"Khaidi Rudrayya","1986","lead","Yes","","tmdb","0.50","Added","851649",""
"Alludu Diddina Kapuram","1991","lead","Yes","","tmdb","0.50","Exists","866604",""
"Baladur","2008","lead","Yes","","tmdb","0.50","Exists","115267",""
"Vamsi","2000","lead","Yes","","tmdb","0.50","Exists","281880",""
"Takkari Donga","2002","cameo","No","","tmdb","0.50","Added","82727",""
"Rajakumarudu","1999","supporting","No","","tmdb","0.50","Added","281423",""
"Kurukshetram","1977","child_actor","No","","tmdb","0.50","Exists","299869",""
"Vajrayudham","1985","lead","Yes","","tmdb","0.50","Exists","1384001",""
"Ooriki Monagadu","1981","lead","Yes","","tmdb","0.50","Exists","1384002",""
"Jathagadu","1981","lead","Yes","","tmdb","0.50","Exists","308048",""
"Akka Chellelu","1970","child_actor","No","","tmdb","0.50","Exists","307716",""
"Gharana Donga","1980","lead","Yes","","tmdb","0.50","Exists","307223",""
"Mallamma Katha","1973","child_actor","No","","tmdb","0.50","Exists","307571",""
"Krishnavataram","1982","lead","Yes","","tmdb","0.50","Exists","1436222",""
"Mundadugu","1983","lead","Yes","","tmdb","0.50","Added","1444723",""
"Poratam","1983","lead","Yes","","tmdb","0.50","Exists","1471193",""
"Mayadari Malligadu","1973","child_actor","No","","tmdb","0.50","Exists","1471696",""
"Mugguru Kodukulu","1988","lead","Yes","","tmdb","0.50","Exists","466506",""
"Yamaleela","1994","cameo","No","","tmdb","0.50","Added","82720",""
"Kula Gotralu","1962","child_actor","No","","tmdb","0.50","Added","319758",""
"Tene Manasulu","1965","child_actor","No","","tmdb","0.50","Exists","1599369",""
"Sankharavam","1987","lead","Yes","","tmdb","0.50","Exists","1600281",""
"Padandi Munduku","1962","child_actor","No","","tmdb","0.50","Added","1599347",""
"Kaliyuga Karnudu","1988","lead","Yes","","tmdb","0.50","Exists","1600849",""
"Burripalem Bullodu","1979","lead","Yes","","tmdb","0.50","Exists","1603870",""
"Devudichina Koduku","1980","lead","Yes","","tmdb","0.50","Exists","1603880",""
"Guru Sishyulu","1981","lead","Yes","","tmdb","0.50","Exists","509875",""
"Prema Nakshatram","1982","lead","Yes","","tmdb","0.50","Added","525068",""
"Samajaniki Sawal","1979","lead","Yes","","tmdb","0.50","Exists","1604669",""
"Mama Allulla Saval","1980","lead","Yes","","tmdb","0.50","Exists","502894",""
"Adrushtavanthudu","1980","lead","Yes","","tmdb","0.50","Exists","307464",""
"Bangaru Bava","1980","lead","Yes","","tmdb","0.50","Exists","1604679",""
"Bhoga Bhagyalu","1981","lead","Yes","","tmdb","0.50","Exists","509870",""
"Gadasari Atta Sogasari Kodalu","1981","lead","Yes","","tmdb","0.50","Exists","1604969",""
"Bangaru Bhoomi","1982","lead","Yes","","tmdb","0.50","Exists","1605236",""
"Bangaru Koduku","1982","lead","Yes","","tmdb","0.50","Exists","1605240",""
"Krishnarajunulu","1982","lead","Yes","","tmdb","0.50","Added","1605246",""
"Shamsher Shankar","1982","lead","Yes","","tmdb","0.50","Exists","1605841",""
"Kalavaari Samsaram","1982","lead","Yes","","tmdb","0.50","Exists","1605845",""
"Oorantha Sankranthi","1983","lead","Yes","","tmdb","0.50","Exists","1605859",""
"Kirayi Kotigadu","1983","lead","Yes","","tmdb","0.50","Exists","1605864",""
"Adavi Simhalu","1983","lead","Yes","","tmdb","0.50","Exists","1605918",""
"Kanchu Kaagada","1984","lead","Yes","","tmdb","0.50","Exists","1605921",""
"Pachani Kapuram","1985","lead","Yes","","tmdb","0.50","Exists","1605940",""
"Makutamleni Maharaju","1987","lead","Yes","","tmdb","0.50","Exists","1605967",""
"Maharajashri Mayagaadu","1988","lead","Yes","","tmdb","0.50","Added","490079",""
"Rickshawala","1989","lead","Yes","","tmdb","0.50","Exists","1610104",""
"Anna Thammudu","1990","lead","Yes","","tmdb","0.50","Exists","1612054",""
"Nagastharam","1990","lead","Yes","","tmdb","0.50","Added","1612068",""
"Indra Bhavanam","1991","lead","Yes","","tmdb","0.50","Exists","1612072",""
"Raktha Tharpanam","1992","lead","Yes","","tmdb","0.50","Added","1612079",""
"Pandanti Samsaram","2001","lead","Yes","","tmdb","0.50","Exists","1612083",""
"Independence","1999","supporting","No","","wikidata","0.50","Added","","tt0255253"
"Evaru Nenu","2005","supporting","No","","wikidata","0.50","Exists","","tt8718632"
"Kalabha Mazha","2011","supporting","No","","wikidata","0.50","Added","","tt5168460"
